title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
school of rock,2003,"Down and out rock star Dewey Finn gets fired from his band, and he faces a mountain of debts and depression. He takes a job as a 4th grade substitute teacher at an uptight private school where his attitude and hijinx have a powerful effect on his students. He also meets Zack, a 10-year-old guitar prodigy, who could help Dewey win a ""battle of the bands"" competition, which would solve his financial problems and put him back in the spotlight.",kicked rock band dewey finn becomes substitute teacher strict elementary private school try turn rock band,action comedy family music,tt0332379,5afGGGsxvEA,7.1,Richard Linklater,action comedy family music
scenic route,2013,Tensions rise between lifelong friends Mitchell and Carter after their truck breaks down on an isolated desert road as they start to attack each other's life decisions with unwavering brutality.,tension rise lifelong friend mitchell carter truck break isolated desert road start attack life decision unwavering brutality,action drama thriller,tt2012011,wb7Hrtwzwjs,6.5,Kevin Goetz,action drama thriller
scary movie,2000,"A group of teenagers including Cindy Campbell and Bobby Prinze, accidentally hit a man when driving, and dispose of the body, but now they are being stalked by a very recognisable masked killer. The victim count increases, whilst Cindy must survive the carnage that has she has seen in so many films before.",year disposing body man accidentally killed group dumb teenager stalked bumbling serial killer,action comedy,tt0175142,sSWewFbFTl4,6.2,Keenen Ivory Wayans,action comedy
saw vi,2009,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.",agent strahm dead fbi agent erickson draw nearer hoffman meanwhile pair insurance executive find another game set jigsaw,action horror mystery thriller,tt1233227,MW8BaH-w7-4,6.0,Kevin Greutert,action horror mystery thriller
saw iii,2006,"Jeff is an anguished man, who grieves and misses his young son that was killed by a driver in a car accident. He has become obsessed for revenge against the man and reckless with his wife and daughter. When Dr. Lynn Denlon, who has troubles with her marriage, is abducted by the deranged Jigsaw's apprentice Amanda, she is brought to a gruesome warehouse to keep John Kramer alive in spite of having a terminal brain tumor. Amanda puts a necklace gadget full of explosives around Dr. Lynn's neck connected to John Kramer's life support system, and tells her that if he dies the device will explode. Meanwhile, Jeff is submitted to a sick game of forgiveness with surprising dark consequences.",jigsaw abducts doctor order keep alive watch new apprentice put unlucky citizen named jeff brutal test,action horror mystery thriller,tt0489270,zeJ9v8jjFEE,6.2,Darren Lynn Bousman,action horror mystery thriller
saw ii,2005,"Detective Matthews and the Swat-team goes on a mission to arrest Jigsaw who strikes again, but even that is only a part of Jigsaws detailed plan. Matthews soon get to know that eight people are trapped in an old house and are playing Jigsaw's game. One of them is his own son.",detective team must rescue people trapped factory twisted serial killer known jigsaw,action crime horror mystery,tt0432348,Lq2AzZB6DUE,6.6,Darren Lynn Bousman,action crime horror mystery
saw,2004,"Waking up in a undisclosed location in a unknown room two men, adam and gordon are trapped into a single room with a dead body. Given random tools with riddles hidnen around the room. Wondering who could have done this there are clues to who might of done it; the jigsaw killer. The question is not just who but why would a serial killer leave two men in a room. Both adam and gordon hiding secrets they must trust and work together to get out or die...can they survive Jigsaw's game or die trying?",two stranger awaken room recollection got soon discover pawn deadly game perpetrated notorious serial killer,action crime drama horror mystery,tt0387564,S-1QgOMQ-ls,7.6,James Wan,action crime drama horror mystery
saving mr. banks,2013,"When Walt Disney's daughters begged him to make a movie of their favorite book, P.L. Travers' Mary Poppins (1964), he made them a promise - one that he didn't realize would take 20 years to keep. In his quest to obtain the rights, Walt comes up against a curmudgeonly, uncompromising writer who has absolutely no intention of letting her beloved magical nanny get mauled by the Hollywood machine. But, as the books stop selling and money grows short, Travers reluctantly agrees to go to Los Angeles to hear Disney's plans for the adaptation. For those two short weeks in 1961, Walt Disney pulls out all the stops. Armed with imaginative storyboards and chirpy songs from the talented Sherman brothers, Walt launches an all-out onslaught on P.L. Travers, but the prickly author doesn't budge. He soon begins to watch helplessly as Travers becomes increasingly immovable and the rights begin to move further away from his grasp. It is only when he reaches into his own childhood that Walt discovers ...",author travers reflects childhood reluctantly meeting walt disney seek adapt mary poppins book big screen,action biography comedy drama family,tt2140373,a5kYmrjongg,7.5,John Lee Hancock,action biography comedy drama family
savannah,2013,"SAVANNAH is the true story of Ward Allen, a romantic and bombastic character who rejects his plantation heritage for the freedom of life on a river. Ward navigates the change of early 20th century America on the wrong side of the law and society, his loyal friend, a freed slave named Christmas Moultrie, at his side. Master of Shakespeare, and the shotgun that provides Savannah's markets with fowl, Ward fights for his rights as a hunter. His charisma and eloquent rhetoric win the heart of a society woman who defies her father to marry him. An elderly Moultrie tells the story of life on the river with his friend to a little boy, who passes the legendary Ward Allen down to the next generation.",drama friendship oxford educated southerner former black slave turn century savannah,action drama family history romance,tt1797487,OwY-vdYlA2c,6.0,Annette Haywood-Carter,action drama family history romance
savages,2012,"In California, the former Navy SEAL Chon and his best friend, the peaceful botanist Ben, are successful entrepreneurs producing and dealing high-quality weed. Chon brought seeds from Afghanistan and Ben used his knowledge to develop the best marijuana in the country. Chon and Ben share the pothead lover Ophelia and she loves both of them since they complete each other - Chon is a powerful and strong lover and Ben is a sensible and loving lover. Their comfortable life changes when the Mexican Baja Cartel demands a partnership in their business. Chon and Ben refuse the deal and the leader of the cartel Elena sends her right-arm in America, Lado, to abduct Ophelia to press the American drug dealers. Chon and Ben ask the support of the dirty DEA Agent Dennis and get inside information to begin a secret war against the Baja Cartel to release Ophelia.",pot grower ben chon face mexican drug cartel kidnapped shared girlfriend,action crime drama romance thriller,tt1615065,8imzQaoEwsA,6.5,Oliver Stone,action crime drama romance thriller
salt,2010,"Evelyn Salt is a CIA agent and highly respected by all, including her boss, Ted Winter. Out of the blue, a Russian spy walks into their offices and offers a vital piece of information: the President of Russia will be assassinated during his forthcoming visit to New York City to attend the funeral of the recently deceased U.S. Vice President. The name of the assassin: Evelyn Salt. Concerned about the safety of her husband, who she cannot contact, she goes on the run. Winter refuses to accept that she is a mole or a double agent but her actions begin to raise doubts. Just who is Evelyn Salt and what is she planning?",cia agent go run defector accuses russian spy,action crime mystery thriller,tt0944835,mjOcEvBmYGE,6.4,Phillip Noyce,action crime mystery thriller
